RefCode,Icon,Title,Text,Color,LinkURL,LinkText,ImageURL,FFR,FoodPref,Culture,Time,HealthRating,Delete
McD_1,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7e7e4b018624a53cecd?viewFile=true,mcdonalds,"sweet,vegetablesfresh","A,B","daysnack,breakfast,nightsnack",,
McD_2,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77d9f5e4b05e4bbcdd1263?viewFile=true,"mcdonalds,generic","sweet,vegetablesfresh","B,A","breakfast,nightsnack,daysnack",,99
McD_2b,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77d9f5e4b05e4bbcdd1263?viewFile=true,"mcdonalds,generic","sweet,vegetablesfresh","B,A","breakfast,nightsnack,daysnack",,
McD_3,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7e9e4b018624a53cf14?viewFile=true,mcdonalds,saltysavory,"B,A",breakfast,,
McD_4,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ce4b05e4bbcdd1598?viewFile=true,"generic,mcdonalds","vegetablesfresh,sweet,saltysavory","B,A",breakfast,,
McD_5,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dbe4b0f4d2ad33aa15?viewFile=true,mcdonalds,saltysavory,A,"lunch,dinner",,
McD_6,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8de4b0e491215839a6?viewFile=true,mcdonalds,saltysavory,B,"lunch,dinner",,
McD_7,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dbe4b0f4d2ad33aa1c?viewFile=true,"generic,subway,burgerking,mcdonalds,wendys",saltysavory,A,"dinner,lunch",,
McD_8,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8de4b0e491215839a9?viewFile=true,"wendys,burgerking,generic,subway,mcdonalds",saltysavory,B,"lunch,dinner",,
McD_9,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dce4b0f4d2ad33aa33?viewFile=true,mcdonalds,"vegetablesfresh,sweet","A,B","breakfast,daysnack",,
McD_10,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dce4b0f4d2ad33aa36?viewFile=true,"generic,wendys,tacobell,subway,mcdonalds,KFC,burgerking",sweet,"B,A","dinner,nightsnack,daysnack,lunch,breakfast",,
McD_11,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dce4b0f4d2ad33aa39?viewFile=true,mcdonalds,saltysavory,"A,B",breakfast,,
McD_12,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7ebe4b018624a53cfb7?viewFile=true,"burgerking,generic,subway,mcdonalds,wendys,tacobell","saltysavory,vegetablesfresh,sweet","B,A",breakfast,,
McD_13,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e111e4b05e4bbcdd1693?viewFile=true,mcdonalds,saltysavory,"A,B",breakfast,,
McD_14,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e111e4b05e4bbcdd1696?viewFile=true,"wendys,burgerking,tacobell,generic,subway,mcdonalds","saltysavory,sweet,vegetablesfresh","B,A",breakfast,,
McD_15,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dde4b0f4d2ad33aa45?viewFile=true,mcdonalds,saltysavory,A,breakfast,,
McD_16,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dde4b0f4d2ad33aa4a?viewFile=true,mcdonalds,saltysavory,B,breakfast,,
McD_17,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dde4b0f4d2ad33aa4d?viewFile=true,"generic,mcdonalds,tacobell,subway,burgerking,wendys","saltysavory,sweet,vegetablesfresh",A,breakfast,,
McD_18,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dde4b0f4d2ad33aa52?viewFile=true,"generic,mcdonalds,wendys,tacobell,subway,burgerking","saltysavory,vegetablesfresh,sweet",B,breakfast,,
McD_19,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dde4b0f4d2ad33aa55?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory","A,B","dinner,lunch",,
McD_20,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5daf386ee4b006ec9e140bb0?viewFile=true,"burgerking,wendys,generic,mcdonalds,subway","saltysavory,vegetablesfresh","B,A","lunch,nightsnack,daysnack,dinner,breakfast",,
McD_21,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7ece4b018624a53cfcc?viewFile=true,mcdonalds,saltysavory,"A,B","lunch,dinner",,
McD_22,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dee4b0f4d2ad33aa62?viewFile=true,"mcdonalds,wendys,burgerking",saltysavory,"A,B","lunch,dinner",,
McD_23,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8ce4b0e4912158397e?viewFile=true,mcdonalds,saltysavory,A,"lunch,dinner",,
McD_24,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7e8e4b018624a53cee1?viewFile=true,mcdonalds,saltysavory,B,"dinner,lunch",,
McD_25,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8ce4b0e49121583980?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh",A,"dinner,lunch",,
McD_26,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7e8e4b018624a53cee8?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory",B,"lunch,dinner",,
McD_27,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77d9fce4b05e4bbcdd127e?viewFile=true,mcdonalds,saltysavory,A,"daysnack,nightsnack,lunch,dinner",,
McD_28,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7e8e4b018624a53ceef?viewFile=true,mcdonalds,saltysavory,B,"lunch,nightsnack,daysnack,dinner",,
McD_29,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77d9fee4b05e4bbcdd1288?viewFile=true,"KFC,subway,tacobell,burgerking,mcdonalds,wendys",saltysavory,A,"dinner,nightsnack,daysnack,lunch",,
McD_30,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5daf386ee4b006ec9e140b9e?viewFile=true,"KFC,wendys,burgerking,mcdonalds,tacobell,subway",saltysavory,B,"nightsnack,daysnack,dinner,lunch",,
McD_31,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ae4b05e4bbcdd1543?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh","A,B","lunch,dinner",,
McD_32,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ae4b05e4bbcdd1546?viewFile=true,"wendys,KFC,burgerking,subway,mcdonalds","vegetablesfresh,saltysavory","A,B","lunch,dinner",,
McD_33,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d5e4b0f4d2ad33a974?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory",A,"dinner,lunch",,
McD_34,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c87d5e0e4b001ad5ab708b4?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh",B,"lunch,dinner",,
McD_35,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a97b?viewFile=true,"subway,burgerking,mcdonalds,wendys,generic,KFC","vegetablesfresh,saltysavory",A,"dinner,lunch",,
McD_36,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a97f?viewFile=true,"wendys,mcdonalds,subway,generic,burgerking,KFC","saltysavory,vegetablesfresh",B,"dinner,lunch",,
McD_37,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a982?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory","A,B","lunch,dinner",,
